date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:53:14	22188/22188	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-56ac%22	https://tnb3000.github.io/cion-site/dist/location-showcase.html	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/location-showcase.html	(from )
06:53:14	19937/19937	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-4de1%22	https://tnb3000.github.io/cion-site/dist/municipal-landing-page.html	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/municipal-landing-page.html	(from )
06:53:15	40947/40947	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-9ff3%22	https://tnb3000.github.io/cion-site/dist/northern-music.html	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/northern-music.html	(from )
06:53:16	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d1070-239b%22	https://tnb3000.github.io/robots.txt		(from )
06:53:17	836/836	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca51daf-344%22	https://tnb3000.github.io/cion-site/dist/js/site.min.js	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/js/site.min.js	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:18	47721/47721	---M-Z	200	added ('OK')	text/css	etag:W/%225ca51daf-ba69%22	https://tnb3000.github.io/cion-site/dist/css/main.css	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/css/main.css	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:19	10170/10170	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca51daf-27ba%22	https://tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:20	27649/27649	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca51daf-6c01%22	https://tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:23	228065/228065	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-37ae1%22	https://tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:24	96170/96170	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-177aa%22	https://tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury3.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury3.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:26	27462/27462	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-6b46%22	https://tnb3000.github.io/cion-site/dist/assets/img/gallery-buckout-rd.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/gallery-buckout-rd.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:26	161017/161017	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-274f9%22	https://tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury4.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury4.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:27	22680/22680	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-5898%22	https://tnb3000.github.io/cion-site/dist/assets/img/films-indian-horse.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/films-indian-horse.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:27	385113/385113	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-5e059%22	https://tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury2.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/hero-sudbury2.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:28	31426/31426	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-7ac2%22	https://tnb3000.github.io/cion-site/dist/assets/img/films-through-black-spruce.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/films-through-black-spruce.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:28	19447/19447	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-4bf7%22	https://tnb3000.github.io/cion-site/dist/assets/img/films-never-saw-it-coming.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/films-never-saw-it-coming.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:30	1796/1796	---M--	200	added ('OK')	image/png	etag:%225ca51daf-704%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-canada.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-canada.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:30	170685/170685	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-29abd%22	https://tnb3000.github.io/cion-site/dist/assets/img/crowdriffmockup.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/crowdriffmockup.jpg	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:31	2235/2235	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8bb%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-factor.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-factor.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:32	1949/1949	---M--	200	added ('OK')	image/png	etag:%225ca51daf-79d%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-fednor.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-fednor.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:33	2295/2295	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8f7%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-greater-sudbury.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-greater-sudbury.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:34	2930/2930	---M--	200	added ('OK')	image/png	etag:%225ca51daf-b72%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-sudbury.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-sudbury.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:35	1914/1914	---M--	200	added ('OK')	image/png	etag:%225ca51daf-77a%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-nohfc.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-nohfc.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:36	2403/2403	---M--	200	added ('OK')	image/png	etag:%225ca51daf-963%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-oac.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-oac.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:37	2261/2261	---M--	200	added ('OK')	image/png	etag:%225ca51daf-8d5%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-ontario-creates.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-ontario-creates.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:38	2873/2873	---M--	200	added ('OK')	image/png	etag:%225ca51daf-b39%22	https://tnb3000.github.io/cion-site/dist/assets/img/logo-canada-sponsor.png	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/logo-canada-sponsor.png	(from https://tnb3000.github.io/cion-site/dist/location-showcase.html)
06:53:41	203766/203766	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-31bf6%22	https://tnb3000.github.io/cion-site/dist/assets/img/highway.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/highway.jpg	(from https://tnb3000.github.io/cion-site/dist/municipal-landing-page.html)
06:53:41	42635/42635	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-a68b%22	https://tnb3000.github.io/cion-site/dist/assets/img/article-map.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/article-map.jpg	(from https://tnb3000.github.io/cion-site/dist/municipal-landing-page.html)
06:53:42	22054/22054	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-5626%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-jackson-reed.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-jackson-reed.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:42	23512/23512	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-5bd8%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-hidden-roots.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-hidden-roots.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:43	16728/16728	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-4158%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-mclean.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-mclean.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:45	35613/35613	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-8b1d%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-jennifer-holub.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-jennifer-holub.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:46	83375/83375	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-145af%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-murder-murder.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-murder-murder.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:47	90350/90350	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-160ee%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-mike-mikus.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-mike-mikus.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:48	29571/29571	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-7383%22	https://tnb3000.github.io/cion-site/dist/assets/img/music-matt-thibault.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/music-matt-thibault.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:49	85439/85439	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-14dbf%22	https://tnb3000.github.io/cion-site/dist/assets/img/molly-johnson.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/molly-johnson.jpg	(from https://tnb3000.github.io/cion-site/dist/northern-music.html)
06:53:53	130464/130464	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1fda0%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-crewdatabase.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/bg-crewdatabase.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:53:59	439492/439492	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-6b4c4%22	https://tnb3000.github.io/cion-site/dist/assets/img/filming.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/filming.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
06:54:04	478862/478862	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-74e8e%22	https://tnb3000.github.io/cion-site/dist/assets/img/bg-musicians.jpg	/Users/emanuel/websites/Cion2/tnb3000.github.io/cion-site/dist/assets/img/bg-musicians.jpg	(from https://tnb3000.github.io/cion-site/dist/css/main.css)
