date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:15	28671/28671	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-6fff%22	https://tnb3000.github.io/cion-site/dist/blog.html	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/blog.html	(from )
23:05:16	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d1070-239b%22	https://tnb3000.github.io/robots.txt		(from )
23:05:17	85439/85439	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-14dbf%22	https://tnb3000.github.io/cion-site/dist/assets/img/molly-johnson.jpg	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/assets/img/molly-johnson.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:18	56878/56878	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-de2e%22	https://tnb3000.github.io/cion-site/dist/assets/img/molly-johnson-blog.jpg	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/assets/img/molly-johnson-blog.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:19	836/836	U-----	200	untouched ('')	application/javascript	etag:W/%225ca51daf-344%22	https://tnb3000.github.io/cion-site/dist/js/site.min.js	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/js/site.min.js	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:19	47721/47721	U-----	200	untouched ('OK')	text/css	etag:W/%225ca51daf-ba69%22	https://tnb3000.github.io/cion-site/dist/css/main.css	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/css/main.css	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:19	10170/10170	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225ca51daf-27ba%22	https://tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:19	27649/27649	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225ca51daf-6c01%22	https://tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:21	32077/32077	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-7d4d%22	https://tnb3000.github.io/cion-site/dist/assets/img/casper-skulls.jpg	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/assets/img/casper-skulls.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
23:05:21	18962/18962	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-4a12%22	https://tnb3000.github.io/cion-site/dist/assets/img/tea-with-lincoln.jpg	/Users/emanuel/websites/Cions/tnb3000.github.io/cion-site/dist/assets/img/tea-with-lincoln.jpg	(from https://tnb3000.github.io/cion-site/dist/blog.html)
