date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:48:31	23616/23616	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-5c40%22	https://tnb3000.github.io/cion-site/dist/musicians.html	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/musicians.html	(from )
06:48:32	22604/22604	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-584c%22	https://tnb3000.github.io/cion-site/dist/search-results.html	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/search-results.html	(from )
06:48:33	21249/21249	---M-Z	200	added ('OK')	text/html	etag:W/%225ca51daf-5301%22	https://tnb3000.github.io/cion-site/dist/crew-profile.html	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/crew-profile.html	(from )
06:48:34	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d1070-239b%22	https://tnb3000.github.io/robots.txt		(from )
06:48:35	836/836	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ca51daf-344%22	https://tnb3000.github.io/cion-site/dist/js/site.min.js	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/js/site.min.js	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:36	47721/47721	---M-Z	200	added ('OK')	text/css	etag:W/%225ca51daf-ba69%22	https://tnb3000.github.io/cion-site/dist/css/main.css	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/css/main.css	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:37	10170/10170	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca51daf-27ba%22	https://tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/icon-clipboard.svg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:38	27649/27649	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ca51daf-6c01%22	https://tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/svg/sprite.svg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:40	151355/151355	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-24f3b%22	https://tnb3000.github.io/cion-site/dist/assets/img/musicians-consultations.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/musicians-consultations.jpg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:41	129694/129694	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-1fa9e%22	https://tnb3000.github.io/cion-site/dist/assets/img/musicians-showcase.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/musicians-showcase.jpg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:43	92943/92943	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-16b0f%22	https://tnb3000.github.io/cion-site/dist/assets/img/musicians-factor.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/musicians-factor.jpg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:43	322130/322130	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-4ea52%22	https://tnb3000.github.io/cion-site/dist/assets/img/musicians-professional-dev.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/musicians-professional-dev.jpg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
06:48:44	105073/105073	---M--	200	added ('OK')	image/jpeg	etag:%225ca51daf-19a71%22	https://tnb3000.github.io/cion-site/dist/assets/img/musicians-funding.jpg	/Users/emanuel/websites/dsfasdf/tnb3000.github.io/cion-site/dist/assets/img/musicians-funding.jpg	(from https://tnb3000.github.io/cion-site/dist/musicians.html)
